# timestamp;imu_1_accel x;imu_1_accel y;imu_1_accel z;imu_1_gyro x;imu_1_gyro y;imu_1_gyro z;imu_2_accel x;imu_2_accel y;imu_2_accel z;imu_2_gyro x;imu_2_gyro y;imu_2_gyro z;encoder_1;encoder_2;force_1;force_2
6.789616625668432270e+00;-1.524000000000000000e+03;4.840000000000000000e+02;1.594800000000000000e+04;5.090000000000000000e+02;-2.400000000000000000e+01;-1.700000000000000000e+01;-2.404000000000000000e+03;2.064000000000000000e+03;-1.711600000000000000e+04;-1.650000000000000000e+02;1.090000000000000000e+02;-1.330000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.056000000000000000e+03;0.000000000000000000e+00
6.807868283264315146e+00;-1.564000000000000000e+03;4.240000000000000000e+02;1.587600000000000000e+04;5.080000000000000000e+02;-2.700000000000000000e+01;-3.700000000000000000e+01;-2.364000000000000000e+03;2.108000000000000000e+03;-1.720000000000000000e+04;-1.410000000000000000e+02;1.090000000000000000e+02;-1.140000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.056000000000000000e+03;0.000000000000000000e+00
6.826119940860198021e+00;-1.508000000000000000e+03;3.960000000000000000e+02;1.596000000000000000e+04;4.950000000000000000e+02;-3.200000000000000000e+01;-3.800000000000000000e+01;-2.396000000000000000e+03;2.052000000000000000e+03;-1.714800000000000000e+04;-1.390000000000000000e+02;7.400000000000000000e+01;-9.500000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;1.008000000000000000e+03;0.000000000000000000e+00
6.844371598456080896e+00;-1.544000000000000000e+03;4.160000000000000000e+02;1.591200000000000000e+04;5.110000000000000000e+02;3.900000000000000000e+01;-2.900000000000000000e+01;-2.388000000000000000e+03;2.056000000000000000e+03;-1.714800000000000000e+04;-1.470000000000000000e+02;8.600000000000000000e+01;-1.320000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.360000000000000000e+03;0.000000000000000000e+00
6.862623256051963772e+00;-1.560000000000000000e+03;4.160000000000000000e+02;1.585200000000000000e+04;5.050000000000000000e+02;-1.400000000000000000e+01;-2.400000000000000000e+01;-2.420000000000000000e+03;2.072000000000000000e+03;-1.722800000000000000e+04;-1.360000000000000000e+02;7.400000000000000000e+01;-1.270000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.088000000000000000e+03;0.000000000000000000e+00
6.880874913647846647e+00;-1.516000000000000000e+03;4.080000000000000000e+02;1.589200000000000000e+04;5.210000000000000000e+02;0.000000000000000000e+00;-4.000000000000000000e+01;-2.388000000000000000e+03;2.068000000000000000e+03;-1.715600000000000000e+04;-1.350000000000000000e+02;1.060000000000000000e+02;-1.130000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
6.899126571243729522e+00;-1.484000000000000000e+03;3.960000000000000000e+02;1.594000000000000000e+04;4.870000000000000000e+02;5.000000000000000000e+00;-5.000000000000000000e+01;-2.464000000000000000e+03;2.108000000000000000e+03;-1.723200000000000000e+04;-1.270000000000000000e+02;9.300000000000000000e+01;-1.170000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;1.024000000000000000e+03;0.000000000000000000e+00
6.917378228839612397e+00;-1.512000000000000000e+03;4.480000000000000000e+02;1.603600000000000000e+04;5.040000000000000000e+02;-1.200000000000000000e+01;-2.500000000000000000e+01;-2.388000000000000000e+03;2.032000000000000000e+03;-1.709200000000000000e+04;-1.520000000000000000e+02;9.300000000000000000e+01;-9.000000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;6.880000000000000000e+02;0.000000000000000000e+00
6.935629886435495273e+00;-1.544000000000000000e+03;3.920000000000000000e+02;1.594400000000000000e+04;5.020000000000000000e+02;9.000000000000000000e+00;-3.100000000000000000e+01;-2.344000000000000000e+03;2.028000000000000000e+03;-1.719200000000000000e+04;-1.530000000000000000e+02;6.800000000000000000e+01;-1.230000000000000000e+02;4.000000000000000000e+00;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
6.953881544031378148e+00;-1.280000000000000000e+03;4.560000000000000000e+02;1.599600000000000000e+04;5.050000000000000000e+02;2.200000000000000000e+01;-5.200000000000000000e+01;-2.360000000000000000e+03;2.076000000000000000e+03;-1.712400000000000000e+04;-1.300000000000000000e+02;5.800000000000000000e+01;-1.460000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;9.920000000000000000e+02;0.000000000000000000e+00
