# torque;speed;phase_a;phase_b;phase_c;angle;encoder;rotations;voltage;temperature
1.171875000000000000e-02;2.769999999999999929e+01;-3.125000000000000000e-02;7.812500000000000000e-02;-4.687500000000000000e-02;5.784500000000000455e+02;2.634600000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;4.060000000000000142e+01;6.250000000000000000e-02;0.000000000000000000e+00;-6.250000000000000000e-02;5.858100000000000591e+02;2.668400000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;4.950000000000000000e+01;6.250000000000000000e-02;-3.125000000000000000e-02;-3.125000000000000000e-02;5.937400000000000091e+02;2.704900000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;4.400000000000000000e+01;-9.375000000000000000e-02;-3.125000000000000000e-02;1.250000000000000000e-01;6.030800000000000409e+02;2.746400000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.687500000000000000e-02;3.810000000000000142e+01;-1.875000000000000000e-01;-6.250000000000000000e-02;2.500000000000000000e-01;6.113799999999999955e+02;2.784100000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.687500000000000000e-02;3.370000000000000284e+01;-2.812500000000000000e-01;2.968750000000000000e-01;-1.562500000000000000e-02;6.199300000000000637e+02;2.822800000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.980468750000000000e-02;2.000000000000000000e+01;-7.812500000000000000e-02;2.656250000000000000e-01;-1.875000000000000000e-01;6.304300000000000637e+02;2.870200000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;2.480000000000000071e+01;2.187500000000000000e-01;1.562500000000000000e-02;-2.343750000000000000e-01;6.390000000000000000e+02;2.909900000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;3.479999999999999716e+01;0.000000000000000000e+00;-6.250000000000000000e-02;6.250000000000000000e-02;6.475700000000000500e+02;2.949200000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-2.929687500000000000e-03;4.800000000000000000e+01;-9.375000000000000000e-02;6.250000000000000000e-02;3.125000000000000000e-02;6.562500000000000000e+02;2.989000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
